02:15:54.979 [main] INFO  org.example.SortingApp - message
02:39:37.082 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
02:39:37.085 [main] INFO  org.example.SortingApp - starting program...
02:39:37.085 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.086 [main] INFO  org.example.SortingApp - program completed
02:39:37.096 [main] INFO  org.example.SortingApp - starting program...
02:39:37.096 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.097 [main] INFO  org.example.SortingApp - program completed
02:39:37.097 [main] INFO  org.example.SortingApp - starting program...
02:39:37.097 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.097 [main] INFO  org.example.SortingApp - program completed
02:39:37.565 [main] INFO  org.example.SortingApp - starting program...
02:39:37.566 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.566 [main] INFO  org.example.SortingApp - program completed
02:39:37.567 [main] INFO  org.example.SortingApp - starting program...
02:39:37.567 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.568 [main] INFO  org.example.SortingApp - program completed
02:39:37.588 [main] INFO  org.example.SortingApp - starting program...
02:39:37.588 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.589 [main] INFO  org.example.SortingApp - program completed
02:39:37.589 [main] INFO  org.example.SortingApp - starting program...
02:39:37.589 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.589 [main] INFO  org.example.SortingApp - program completed
02:39:37.973 [main] INFO  org.example.SortingApp - starting program...
02:39:37.973 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.974 [main] INFO  org.example.SortingApp - program completed
02:39:37.974 [main] INFO  org.example.SortingApp - starting program...
02:39:37.975 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.976 [main] INFO  org.example.SortingApp - program completed
02:39:37.996 [main] INFO  org.example.SortingApp - starting program...
02:39:37.997 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:37.998 [main] INFO  org.example.SortingApp - program completed
02:39:37.999 [main] INFO  org.example.SortingApp - starting program...
02:39:37.999 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.000 [main] INFO  org.example.SortingApp - program completed
02:39:38.012 [main] INFO  org.example.SortingApp - starting program...
02:39:38.012 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.013 [main] INFO  org.example.SortingApp - program completed
02:39:38.014 [main] INFO  org.example.SortingApp - starting program...
02:39:38.014 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.015 [main] INFO  org.example.SortingApp - program completed
02:39:38.035 [main] INFO  org.example.SortingApp - starting program...
02:39:38.036 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.037 [main] INFO  org.example.SortingApp - program completed
02:39:38.037 [main] INFO  org.example.SortingApp - starting program...
02:39:38.037 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.038 [main] INFO  org.example.SortingApp - program completed
02:39:38.069 [main] INFO  org.example.SortingApp - starting program...
02:39:38.071 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.072 [main] INFO  org.example.SortingApp - program completed
02:39:38.090 [main] INFO  org.example.SortingApp - starting program...
02:39:38.091 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.093 [main] INFO  org.example.SortingApp - program completed
02:39:38.112 [main] INFO  org.example.SortingApp - starting program...
02:39:38.115 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.117 [main] INFO  org.example.SortingApp - program completed
02:39:38.123 [main] INFO  org.example.SortingApp - starting program...
02:39:38.124 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.124 [main] INFO  org.example.SortingApp - program completed
02:39:38.168 [main] INFO  org.example.SortingApp - starting program...
02:39:38.169 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.169 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:38.378 [main] INFO  org.example.SortingApp - starting program...
02:39:38.379 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.379 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:38.387 [main] INFO  org.example.SortingApp - starting program...
02:39:38.387 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.388 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:38.394 [main] INFO  org.example.SortingApp - starting program...
02:39:38.395 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.395 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:38.405 [main] INFO  org.example.SortingApp - starting program...
02:39:38.406 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.410 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:38.420 [main] INFO  org.example.SortingApp - starting program...
02:39:38.421 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:38.422 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:53.250 [main] INFO  org.example.SortingApp - starting program...
02:39:53.256 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
02:39:53.271 [main] INFO  org.example.SortingApp - starting program...
02:39:53.272 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
02:39:53.279 [main] INFO  org.example.SortingApp - starting program...
02:39:53.280 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.282 [main] INFO  org.example.SortingApp - program completed
02:39:53.288 [main] INFO  org.example.SortingApp - starting program...
02:39:53.288 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.289 [main] INFO  org.example.SortingApp - program completed
02:39:53.289 [main] INFO  org.example.SortingApp - starting program...
02:39:53.289 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.289 [main] INFO  org.example.SortingApp - program completed
02:39:53.352 [main] INFO  org.example.SortingApp - starting program...
02:39:53.352 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.353 [main] INFO  org.example.SortingApp - program completed
02:39:53.353 [main] INFO  org.example.SortingApp - starting program...
02:39:53.353 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.353 [main] INFO  org.example.SortingApp - program completed
02:39:53.362 [main] INFO  org.example.SortingApp - starting program...
02:39:53.362 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.362 [main] INFO  org.example.SortingApp - program completed
02:39:53.362 [main] INFO  org.example.SortingApp - starting program...
02:39:53.362 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.362 [main] INFO  org.example.SortingApp - program completed
02:39:53.366 [main] INFO  org.example.SortingApp - starting program...
02:39:53.366 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.367 [main] INFO  org.example.SortingApp - program completed
02:39:53.368 [main] INFO  org.example.SortingApp - starting program...
02:39:53.368 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.368 [main] INFO  org.example.SortingApp - program completed
02:39:53.373 [main] INFO  org.example.SortingApp - starting program...
02:39:53.373 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.374 [main] INFO  org.example.SortingApp - program completed
02:39:53.374 [main] INFO  org.example.SortingApp - starting program...
02:39:53.374 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.374 [main] INFO  org.example.SortingApp - program completed
02:39:53.380 [main] INFO  org.example.SortingApp - starting program...
02:39:53.381 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.381 [main] INFO  org.example.SortingApp - program completed
02:39:53.381 [main] INFO  org.example.SortingApp - starting program...
02:39:53.381 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.382 [main] INFO  org.example.SortingApp - program completed
02:39:53.386 [main] INFO  org.example.SortingApp - starting program...
02:39:53.386 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.387 [main] INFO  org.example.SortingApp - program completed
02:39:53.387 [main] INFO  org.example.SortingApp - starting program...
02:39:53.387 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.387 [main] INFO  org.example.SortingApp - program completed
02:39:53.397 [main] INFO  org.example.SortingApp - starting program...
02:39:53.397 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.398 [main] INFO  org.example.SortingApp - program completed
02:39:53.402 [main] INFO  org.example.SortingApp - starting program...
02:39:53.402 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.403 [main] INFO  org.example.SortingApp - program completed
02:39:53.407 [main] INFO  org.example.SortingApp - starting program...
02:39:53.408 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.408 [main] INFO  org.example.SortingApp - program completed
02:39:53.412 [main] INFO  org.example.SortingApp - starting program...
02:39:53.412 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.412 [main] INFO  org.example.SortingApp - program completed
02:39:53.456 [main] INFO  org.example.SortingApp - starting program...
02:39:53.457 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.457 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:53.464 [main] INFO  org.example.SortingApp - starting program...
02:39:53.465 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.465 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:53.472 [main] INFO  org.example.SortingApp - starting program...
02:39:53.473 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.473 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:53.482 [main] INFO  org.example.SortingApp - starting program...
02:39:53.482 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.482 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:53.489 [main] INFO  org.example.SortingApp - starting program...
02:39:53.489 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.490 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:39:53.493 [main] INFO  org.example.SortingApp - starting program...
02:39:53.493 [main] INFO  org.example.SortingApp - iterating whole args array
02:39:53.493 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:42:57.228 [main] INFO  org.example.SortingApp - starting program...
02:42:57.231 [main] INFO  org.example.SortingApp - iterating whole args array
02:42:57.233 [main] INFO  org.example.SortingApp - program completed
02:42:57.233 [main] INFO  org.example.SortingApp - starting program...
02:42:57.234 [main] INFO  org.example.SortingApp - iterating whole args array
02:42:57.234 [main] INFO  org.example.SortingApp - program completed
02:44:00.584 [main] INFO  org.example.SortingApp - starting program...
02:44:00.587 [main] INFO  org.example.SortingApp - iterating whole args array
02:44:00.588 [main] INFO  org.example.SortingApp - program completed
02:44:00.588 [main] INFO  org.example.SortingApp - starting program...
02:44:00.589 [main] INFO  org.example.SortingApp - iterating whole args array
02:44:00.589 [main] INFO  org.example.SortingApp - program completed
02:45:42.531 [main] INFO  org.example.SortingApp - starting program...
02:45:42.534 [main] INFO  org.example.SortingApp - iterating whole args array
02:45:42.535 [main] INFO  org.example.SortingApp - program completed
02:46:39.712 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
02:46:47.129 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
02:46:47.143 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
02:46:47.352 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:46:47.358 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:46:47.365 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:46:47.370 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:46:47.374 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
02:46:47.380 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
22:38:16.073 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
22:38:16.095 [main] ERROR org.example.SortingApp - Invalid input: no arguments provided
22:38:16.422 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
22:38:16.457 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
22:38:16.465 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
22:38:16.484 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
22:38:16.490 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
22:38:16.568 [main] ERROR org.example.SortingApp - invalid nonDigit argument found
